MUN_URI,DBPEDIA_LINK
"http://opendata.aragon.es/recurso/territorio/Municipio/Barrachina","http://es.dbpedia.org/resource/Barrachina"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bello","http://es.dbpedia.org/resource/Bello"
"http://opendata.aragon.es/recurso/territorio/Municipio/Berge","http://es.dbpedia.org/resource/Berge"
"http://opendata.aragon.es/recurso/territorio/Municipio/Blesa","http://es.dbpedia.org/resource/Blesa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Blancas","http://es.dbpedia.org/resource/Blancas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bezas","http://es.dbpedia.org/resource/Bezas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bordón","http://es.dbpedia.org/resource/Bordón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bronchales","http://es.dbpedia.org/resource/Bronchales"
"http://opendata.aragon.es/recurso/territorio/Municipio/Burbáguena","http://es.dbpedia.org/resource/Burbáguena"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bueña","http://es.dbpedia.org/resource/Bueña"
"http://opendata.aragon.es/recurso/territorio/Municipio/Calamocha","http://es.dbpedia.org/resource/Calamocha"
"http://opendata.aragon.es/recurso/territorio/Municipio/Calaceite","http://es.dbpedia.org/resource/Calaceite"
"http://opendata.aragon.es/recurso/territorio/Municipio/Calomarde","http://es.dbpedia.org/resource/Calomarde"
"http://opendata.aragon.es/recurso/territorio/Municipio/Calanda","http://es.dbpedia.org/resource/Calanda"
"http://opendata.aragon.es/recurso/territorio/Municipio/Camañas","http://es.dbpedia.org/resource/Camañas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Caminreal","http://es.dbpedia.org/resource/Caminreal"
"http://opendata.aragon.es/recurso/territorio/Municipio/Camarillas","http://es.dbpedia.org/resource/Camarillas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Cantavieja","http://es.dbpedia.org/resource/Cantavieja"
"http://opendata.aragon.es/recurso/territorio/Municipio/Castelnou","http://es.dbpedia.org/resource/Castelnou"
"http://opendata.aragon.es/recurso/territorio/Municipio/Castelserás","http://es.dbpedia.org/resource/Castelserás"
"http://opendata.aragon.es/recurso/territorio/Municipio/Castellote","http://es.dbpedia.org/resource/Castellote"
"http://opendata.aragon.es/recurso/territorio/Municipio/Celadas","http://es.dbpedia.org/resource/Celadas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Cedrillas","http://es.dbpedia.org/resource/Cedrillas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Cella","http://es.dbpedia.org/resource/Cella"
"http://opendata.aragon.es/recurso/territorio/Municipio/Cosa","http://es.dbpedia.org/resource/Cosa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Corbalán","http://es.dbpedia.org/resource/Corbalán"
"http://opendata.aragon.es/recurso/territorio/Municipio/Crivillén","http://es.dbpedia.org/resource/Crivillén"
"http://opendata.aragon.es/recurso/territorio/Municipio/Cucalón","http://es.dbpedia.org/resource/Cucalón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Cretas","http://es.dbpedia.org/resource/Cretas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Escucha","http://es.dbpedia.org/resource/Escucha"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ejulve","http://es.dbpedia.org/resource/Ejulve"
"http://opendata.aragon.es/recurso/territorio/Municipio/Escorihuela","http://es.dbpedia.org/resource/Escorihuela"
"http://opendata.aragon.es/recurso/territorio/Municipio/Estercuel","http://es.dbpedia.org/resource/Estercuel"
"http://opendata.aragon.es/recurso/territorio/Municipio/Cubla","http://es.dbpedia.org/resource/Cubla"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fonfría","http://es.dbpedia.org/resource/Fonfría"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fórnoles","http://es.dbpedia.org/resource/Fórnoles"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fortanete","http://es.dbpedia.org/resource/Fortanete"
"http://opendata.aragon.es/recurso/territorio/Municipio/Foz-Calanda","http://es.dbpedia.org/resource/Foz-Calanda"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fuenferrada","http://es.dbpedia.org/resource/Fuenferrada"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fuentespalda","http://es.dbpedia.org/resource/Fuentespalda"
"http://opendata.aragon.es/recurso/territorio/Municipio/Gargallo","http://es.dbpedia.org/resource/Gargallo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Galve","http://es.dbpedia.org/resource/Galve"
"http://opendata.aragon.es/recurso/territorio/Municipio/Griegos","http://es.dbpedia.org/resource/Griegos"
"http://opendata.aragon.es/recurso/territorio/Municipio/Guadalaviar","http://es.dbpedia.org/resource/Guadalaviar"
"http://opendata.aragon.es/recurso/territorio/Municipio/Gúdar","http://es.dbpedia.org/resource/Gúdar"
"http://opendata.aragon.es/recurso/territorio/Municipio/Híjar","http://es.dbpedia.org/resource/Híjar"
"http://opendata.aragon.es/recurso/territorio/Municipio/Jabaloyas","http://es.dbpedia.org/resource/Jabaloyas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Jorcas","http://es.dbpedia.org/resource/Jorcas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Josa","http://es.dbpedia.org/resource/Josa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Jarque","http://es.dbpedia.org/resource/Jarque"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lagueruela","http://es.dbpedia.org/resource/Lagueruela"
"http://opendata.aragon.es/recurso/territorio/Municipio/Jatiel","http://es.dbpedia.org/resource/Jatiel"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lanzuela","http://es.dbpedia.org/resource/Lanzuela"
"http://opendata.aragon.es/recurso/territorio/Municipio/Libros","http://es.dbpedia.org/resource/Libros"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lidón","http://es.dbpedia.org/resource/Lidón"
"http://opendata.aragon.es/recurso/territorio/Municipio/Loscos","http://es.dbpedia.org/resource/Loscos"
